base,quote,daily_volatility,last_price,average_volume
BTC,EUR,1288.5117836232619,55621.23,199.979765
ETH,EUR,42.39065284941959,2181.03,1040.0360500000002
BNB,EUR,10.823608455593723,497.2,981.0411000000001
XRP,EUR,0.015565911473473037,0.5222,1962076.8
SXP,EUR,0.013871568044024432,0.2654,212754.41
LINK,EUR,0.2794566155953368,10.0,9193.035
DOT,EUR,0.09985414362959603,3.746,18388.676
LTC,EUR,1.1230943860602274,58.23,2753.7990999999997
ADA,EUR,0.009071322946516677,0.3117,3552596.3199999994
BCH,EUR,9.272777361718553,307.8,197.5278
YFI,EUR,107.30167752649537,4835.0,0.38357399999999997
XLM,EUR,0.0010027960909377335,0.0853,198988.7
GRT,EUR,0.003756807155018741,0.1346,182308.0
EOS,EUR,0.025981724346163023,0.762,34726.71
DOGE,EUR,0.0018916828486826227,0.09353,2615157.4
EGLD,EUR,0.6349015671739988,24.21,1732.416
AVAX,EUR,0.7170941360797761,23.37,5254.624
UNI,EUR,0.09172436971710403,4.856,4136.262000000001
CHZ,EUR,0.0017493998971075764,0.053,161671.9
ENJ,EUR,0.0035693136595149493,0.1946,15979.0
MATIC,EUR,0.013271175531956475,0.3444,216608.91999999998
LUNA,EUR,32.734618669056836,6e-05,540254573.2409999
THETA,EUR,0.03090307428072487,0.614,10209.999999999998
BTT,EUR,8.937471678276798e-05,0.002436,142567657.4
HOT,EUR,6.996177527764708e-05,0.001789,21774656.990000002
WIN,EUR,2.1252999788265194e-06,7.85e-05,45052444.7
VET,EUR,0.0004553998243302252,0.01981,1204228.948
WRX,EUR,0.03236419163211095,0.5746,81987.91
TRX,EUR,0.0020815619135639454,0.1348,820578.5
SHIB,EUR,2.711106785060299e-07,1.278e-05,10461573248.3
ETC,EUR,0.6755471856206635,20.0,1130.97
SOL,EUR,2.5815168021920765,124.3,22009.744499999997
ICP,EUR,0.31413366581759433,7.342,14235.891999999998
RUNE,EUR,0.09520084033242565,3.762,5661.05
LAZIO,EUR,0.037961691216277536,2.548,2413.714
PORTO,EUR,0.040691030952778796,2.715,2561.623
ALPINE,EUR,0.050666458332905014,2.196,2303.199
ATOM,EUR,0.11838619007299803,3.999,8486.356
GALA,EUR,0.0004623083386658739,0.01709,1615336.3
NEAR,EUR,0.1444761572024948,4.018,15003.66
WAVES,EUR,0.04576341333423456,1.354,1196.824
APE,EUR,0.043458140779375244,1.508,10172.253
GMT,EUR,0.007716320366599615,0.1164,866492.26
FTM,EUR,0.05354992436969448,0.571,337772.4
ZIL,EUR,0.0012048916963777279,0.02063,5046870.9
JASMY,EUR,0.0006046576634757885,0.004568,35025979.67
GAL,EUR,0.05108072043344729,0.995,929.7583000000002
DAR,EUR,0.01011757129947697,0.12133,126111.6
OP,EUR,0.05194073545878997,1.401,10199.825
APT,EUR,0.16960247639701492,5.67,5195.588
ARB,EUR,0.009953110066707791,0.4901,54097.969999999994
ID,EUR,0.010727093921468199,0.18769,20053.0
EDU,EUR,0.03759451178031177,0.47455,5357.6
SUI,EUR,0.11810464173774032,1.1941,152879.37000000002
RNDR,EUR,0.32218319323018696,6.475,12803.58
ENA,EUR,0.007876547467006082,0.277,14473.666999999998
PEPE,EUR,2.1431052237349442e-07,7.05e-06,10696240831.8
WIF,EUR,0.05688066455307986,1.525,22473.761
RENDER,EUR,0.183329457534789,4.569,5305.879
NOT,EUR,0.0002857078927856212,0.00707,815425.8
POL,EUR,0.012797959020954888,0.3541,105686.3
